referrer,views_total,views_unique
Google,5788,2904
github.com,281,170
fluxcd.io,163,71
Bing,145,84
DuckDuckGo,114,73
pgcloud.atlassian.net,65,1
fluxcd.github.io,51,3
gitops.tech,50,44
charts.fluxcd.io,39,14
cn.bing.com,38,30
