referrer,views_total,views_unique
Google,5371,2929
github.com,385,177
fluxcd.io,148,70
Bing,107,53
DuckDuckGo,102,67
charts.fluxcd.io,73,14
gitops.tech,38,36
search.brave.com,35,28
cn.bing.com,25,20
statics.teams.cdn.office.net,24,8
