referrer,views_total,views_unique
Google,5841,3117
github.com,432,175
fluxcd.io,173,70
Bing,136,56
DuckDuckGo,120,72
charts.fluxcd.io,80,14
search.brave.com,43,32
gitops.tech,42,39
statics.teams.cdn.office.net,20,8
cn.bing.com,18,17
