referrer,views_total,views_unique
Google,5027,2677
github.com,692,306
DuckDuckGo,109,60
fluxcd.io,80,47
Bing,75,55
gitops.tech,71,47
youtube.com,20,5
medium.com,18,14
weave.works,14,12
gitlab.core.sapns2.us,14,1
