referrer,views_total,views_unique
Google,5696,3121
github.com,359,174
fluxcd.io,163,73
DuckDuckGo,160,88
Bing,92,54
charts.fluxcd.io,61,15
gitops.tech,59,43
search.brave.com,38,30
medium.com,17,15
StartPage,15,5
