referrer,views_total,views_unique
Google,6080,3112
github.com,840,358
DuckDuckGo,223,139
gitops.tech,115,72
fluxcd.io,106,57
Bing,80,60
charts.fluxcd.io,52,13
agiratech.com,35,5
medium.com,23,18
gimlet.io,23,1
