referrer,views_total,views_unique
Google,5916,2699
github.com,513,216
fluxcd.io,250,71
DuckDuckGo,188,74
Bing,68,53
charts.fluxcd.io,58,11
gitops.tech,40,33
collabnix.github.io,25,16
developer.aliyun.com,21,3
medium.com,14,10
