referrer,views_total,views_unique
Google,7270,3401
github.com,882,404
DuckDuckGo,206,132
fluxcd.io,117,70
Bing,101,70
gitops.tech,87,72
charts.fluxcd.io,30,6
collabnix.github.io,28,16
medium.com,27,22
weave.works,26,16
