referrer,views_total,views_unique
Google,5119,2722
github.com,662,305
DuckDuckGo,113,61
fluxcd.io,83,50
Bing,72,54
gitops.tech,69,44
charts.fluxcd.io,23,8
youtube.com,20,5
medium.com,16,12
weave.works,14,13
