referrer,views_total,views_unique
Google,4936,2633
github.com,415,179
fluxcd.io,230,94
DuckDuckGo,102,62
Bing,97,61
charts.fluxcd.io,62,14
gitops.tech,44,34
search.brave.com,32,22
medium.com,22,20
cn.bing.com,16,14
