referrer,views_total,views_unique
Google,14338,5370
fluxcd.io,3299,574
github.com,1286,256
DuckDuckGo,383,150
Bing,373,167
statics.teams.cdn.office.net,203,58
t.co,114,75
yandex.ru,77,5
search.brave.com,66,21
pkg.go.dev,57,3
