referrer,views_total,views_unique
Google,15028,5768
fluxcd.io,1333,380
github.com,921,221
DuckDuckGo,462,181
Bing,391,158
search.brave.com,166,43
statics.teams.cdn.office.net,110,38
learn.microsoft.com,51,14
cncf.io,43,16
landscape.cncf.io,41,24
