time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-09 00:00:00+00:00,52833,531,3130,802
2022-05-10 00:00:00+00:00,54913,557,3106,850
2022-05-11 00:00:00+00:00,53946,557,3005,916
2022-05-12 00:00:00+00:00,56355,566,3707,954
2022-05-13 00:00:00+00:00,66359,546,2966,823
2022-05-14 00:00:00+00:00,67076,481,934,297
2022-05-15 00:00:00+00:00,67236,495,974,306
2022-05-16 00:00:00+00:00,66139,530,3100,916
2022-05-17 00:00:00+00:00,65842,523,2911,957
2022-05-18 00:00:00+00:00,66858,560,3332,1016
2022-05-19 00:00:00+00:00,65843,583,3106,929
2022-05-20 00:00:00+00:00,64951,533,2809,884
2022-05-21 00:00:00+00:00,64174,487,698,237
2022-05-22 00:00:00+00:00,58788,490,781,256
