referrer,views_total,views_unique
Google,13537,6241
fluxcd.io,723,311
github.com,633,219
DuckDuckGo,372,172
Bing,330,169
search.brave.com,168,89
statics.teams.cdn.office.net,121,77
chatgpt.com,85,34
yandex.ru,31,22
ecosia.org,31,17
