referrer,views_total,views_unique
Google,16378,6115
fluxcd.io,1423,426
github.com,1319,327
DuckDuckGo,459,173
Bing,421,167
statics.teams.cdn.office.net,116,61
cncf.io,90,26
search.brave.com,88,41
learn.microsoft.com,66,8
earthly.dev,52,12
