referrer,views_total,views_unique
Google,12441,5188
fluxcd.io,4012,884
github.com,1364,297
Bing,361,133
DuckDuckGo,303,130
t.co,246,132
statics.teams.cdn.office.net,146,63
pkg.go.dev,56,7
search.brave.com,50,26
browserstack.atlassian.net,42,1
