referrer,views_total,views_unique
Google,14282,5503
fluxcd.io,1926,442
github.com,1070,220
DuckDuckGo,421,168
Bing,387,172
statics.teams.cdn.office.net,191,63
yandex.ru,81,6
search.brave.com,70,21
pkg.go.dev,70,5
cn.bing.com,52,15
