referrer,views_total,views_unique
Google,16827,8000
github.com,1049,357
fluxcd.io,790,312
Bing,648,288
DuckDuckGo,485,192
search.brave.com,180,81
cn.bing.com,63,39
yandex.ru,56,32
learn.microsoft.com,49,22
ecosia.org,32,14
