referrer,views_total,views_unique
Google,12626,5964
fluxcd.io,953,398
github.com,852,304
DuckDuckGo,377,173
Bing,345,188
chatgpt.com,162,84
statics.teams.cdn.office.net,145,66
search.brave.com,140,66
ecosia.org,34,19
qwant.com,26,6
