referrer,views_total,views_unique
Google,15248,6900
github.com,1093,323
fluxcd.io,1040,468
DuckDuckGo,477,181
Bing,442,202
search.brave.com,188,89
statics.teams.cdn.office.net,83,57
chatgpt.com,83,47
ecosia.org,45,21
qwant.com,39,4
