url_path,views_total,views_unique
/fluxcd/flux2,3355,2251
/fluxcd/flux2/releases,1735,858
/fluxcd/flux2/tree/main/manifests/monitoring/monitoring-config,653,62
/fluxcd/flux2/issues,623,255
/fluxcd/flux2/releases/tag/v2.0.0,482,253
/fluxcd/flux2/tree/main/manifests/monitoring/kube-prometheus-stack,477,68
/fluxcd/flux2/tree/main/manifests,468,113
/fluxcd/flux2/tree/main/manifests/monitoring/monitoring-config/dashboards,428,59
/fluxcd/flux2/issues/4156,390,317
/fluxcd/flux2/releases/tag/v2.0.1,321,229
