time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-30 00:00:00+00:00,78853,1280,2137,798
2023-07-01 00:00:00+00:00,76204,774,651,212
2023-07-02 00:00:00+00:00,76023,738,757,237
2023-07-03 00:00:00+00:00,78937,1245,2440,812
2023-07-04 00:00:00+00:00,79939,1312,2786,865
2023-07-05 00:00:00+00:00,78731,1405,5034,1718
2023-07-06 00:00:00+00:00,80397,1327,5887,2121
2023-07-07 00:00:00+00:00,80190,1304,3619,1110
2023-07-08 00:00:00+00:00,76967,795,962,273
2023-07-09 00:00:00+00:00,76353,770,868,290
2023-07-10 00:00:00+00:00,81613,1343,3432,1027
2023-07-11 00:00:00+00:00,82991,1358,3650,1165
2023-07-12 00:00:00+00:00,82988,1039,3570,1069
2023-07-13 00:00:00+00:00,76522,832,3089,1016
