referrer,views_total,views_unique
Google,18158,8928
github.com,1241,410
fluxcd.io,868,286
Bing,765,352
DuckDuckGo,462,221
search.brave.com,167,88
cn.bing.com,90,60
v2-0.docs.fluxcd.io,84,11
yandex.ru,61,38
ecosia.org,49,21
