url_path,views_total,views_unique
/fluxcd/flux2,3478,2328
/fluxcd/flux2/releases,1880,868
/fluxcd/flux2/issues,649,275
/fluxcd/flux2/issues/4156,629,486
/fluxcd/flux2/tree/main/manifests,623,136
/fluxcd/flux2/tree/main/manifests/monitoring/monitoring-config,610,71
/fluxcd/flux2/releases/tag/v2.0.0,530,280
/fluxcd/flux2/tree/main/manifests/monitoring/kube-prometheus-stack,530,66
/fluxcd/flux2/tree/main/manifests/monitoring/monitoring-config/dashboards,396,68
/fluxcd/flux2/tree/main/manifests/monitoring,341,57
