referrer,views_total,views_unique
Google,10555,4416
fluxcd.io,2658,781
github.com,1109,310
DuckDuckGo,288,131
Bing,235,98
landscape.cncf.io,144,36
statics.teams.cdn.office.net,75,49
search.brave.com,54,29
charts.fluxcd.io,38,6
cncf.io,36,22
