referrer,views_total,views_unique
Google,1544,518
github.com,533,182
docs.flagger.app,262,59
DuckDuckGo,59,14
Bing,38,10
jimmysong.io,30,1
fluxcd.io,20,14
ata.alibaba-inc.com,16,1
collabnix.github.io,12,10
cncf.io,12,8
