referrer,views_total,views_unique
Google,2800,532
github.com,369,122
docs.flagger.app,317,49
fluxcd.io,177,133
Bing,91,24
yandex.ru,26,4
cn.bing.com,17,7
statics.teams.cdn.office.net,11,9
search.brave.com,11,6
t.co,9,3
