referrer,views_total,views_unique
Google,1436,476
github.com,162,71
docs.flagger.app,152,44
fluxcd.io,125,100
DuckDuckGo,60,16
search.brave.com,38,5
statics.teams.cdn.office.net,32,6
Bing,17,11
gecgithub01.walmart.com,9,2
jirasw.t-mobile.com,7,3
