time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-10 00:00:00+00:00,8268,57,112,39
2024-03-11 00:00:00+00:00,9053,75,776,116
2024-03-12 00:00:00+00:00,9087,84,678,138
2024-03-13 00:00:00+00:00,9232,82,777,138
2024-03-14 00:00:00+00:00,9722,85,643,156
2024-03-15 00:00:00+00:00,8345,77,658,151
2024-03-16 00:00:00+00:00,8103,56,237,65
2024-03-17 00:00:00+00:00,7639,55,195,52
2024-03-18 00:00:00+00:00,9234,85,740,134
2024-03-19 00:00:00+00:00,10181,82,641,169
2024-03-20 00:00:00+00:00,11163,102,1026,214
2024-03-21 00:00:00+00:00,10958,86,903,155
2024-03-22 00:00:00+00:00,10373,79,638,138
2024-03-23 00:00:00+00:00,8635,53,118,36
