referrer,views_total,views_unique
Google,1987,578
docs.flagger.app,393,39
github.com,280,76
fluxcd.io,127,114
Bing,73,15
search.brave.com,51,8
medium.com,39,7
yandex.ru,15,10
azure.kocsistem.com.tr,15,1
zozo.rickcloud.jp,11,1
