referrer,views_total,views_unique
Google,1899,571
github.com,823,332
docs.flagger.app,317,88
DuckDuckGo,92,41
Baidu,46,10
fluxcd.io,35,19
medium.com,26,13
Bing,22,8
collabnix.github.io,19,16
cncf.io,17,12
