url_path,views_total,views_unique
/fluxcd/flagger,1089,714
/fluxcd/flagger/tree/main/kustomize/podinfo,210,25
/fluxcd/flagger/tree/main/kustomize,181,35
/fluxcd/flagger/blob/main/CHANGELOG.md,167,55
/fluxcd/flagger/blob/main/kustomize/podinfo/deployment.yaml,160,29
/fluxcd/flagger/issues,142,47
/fluxcd/flagger/tree/main/charts/flagger,107,22
/fluxcd/flagger/blob/main/kustomize/podinfo/hpa.yaml,100,23
/fluxcd/flagger/blob/main/charts/flagger/values.yaml,81,24
/fluxcd/flagger/tree/main/charts,80,22
