referrer,views_total,views_unique
Google,2349,577
github.com,455,144
docs.flagger.app,305,51
fluxcd.io,204,152
Bing,101,22
kagi.com,57,1
statics.teams.cdn.office.net,40,16
DuckDuckGo,39,12
linkedin.com,25,13
collabnix.github.io,11,10
