referrer,views_total,views_unique
Google,2260,443
docs.flagger.app,242,45
github.com,230,79
fluxcd.io,194,137
Bing,112,16
statics.teams.cdn.office.net,74,11
DuckDuckGo,61,23
weave.works,39,7
cn.bing.com,14,2
collabnix.github.io,11,6
