time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-03 00:00:00+00:00,17993,184,113,40
2023-06-04 00:00:00+00:00,18089,182,102,36
2023-06-05 00:00:00+00:00,18834,230,393,110
2023-06-06 00:00:00+00:00,18527,203,520,122
2023-06-07 00:00:00+00:00,18612,211,428,125
2023-06-08 00:00:00+00:00,18782,216,658,121
2023-06-09 00:00:00+00:00,18731,172,467,106
2023-06-10 00:00:00+00:00,18511,167,41,28
2023-06-11 00:00:00+00:00,18302,160,45,36
2023-06-12 00:00:00+00:00,18912,185,329,120
2023-06-13 00:00:00+00:00,18117,182,714,124
2023-06-14 00:00:00+00:00,18469,231,782,127
2023-06-15 00:00:00+00:00,18409,186,739,133
2023-06-16 00:00:00+00:00,16979,212,498,118
