referrer,views_total,views_unique
Google,1267,432
github.com,468,124
docs.flagger.app,290,55
fluxcd.io,26,17
medium.com,19,9
dzone.com,16,10
collabnix.github.io,10,10
t.co,8,8
statics.teams.cdn.office.net,8,6
Bing,8,5
