time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-16 00:00:00+00:00,1955,47,324,120
2024-10-17 00:00:00+00:00,1865,38,313,117
2024-10-18 00:00:00+00:00,1782,37,356,90
2024-10-19 00:00:00+00:00,1543,28,59,30
2024-10-20 00:00:00+00:00,1601,27,76,29
2024-10-21 00:00:00+00:00,1915,41,212,107
2024-10-22 00:00:00+00:00,1949,45,421,147
2024-10-23 00:00:00+00:00,2045,46,446,156
2024-10-24 00:00:00+00:00,1974,44,399,140
2024-10-25 00:00:00+00:00,1921,44,378,134
2024-10-26 00:00:00+00:00,1657,33,192,90
2024-10-27 00:00:00+00:00,1635,32,53,41
2024-10-28 00:00:00+00:00,2079,47,416,119
2024-10-29 00:00:00+00:00,1932,39,320,115
