referrer,views_total,views_unique
Google,1487,467
github.com,405,140
docs.flagger.app,331,55
fluxcd.io,58,20
Bing,27,6
statics.teams.cdn.office.net,20,5
weave.works,19,13
cncf.io,13,9
com.google.android.gm,13,3
developer.aliyun.com,11,1
