time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-09 00:00:00+00:00,2201,48,302,106
2024-12-10 00:00:00+00:00,2059,47,413,112
2024-12-11 00:00:00+00:00,1988,42,308,111
2024-12-12 00:00:00+00:00,1912,39,311,93
2024-12-13 00:00:00+00:00,1987,45,337,88
2024-12-14 00:00:00+00:00,1686,30,68,38
2024-12-15 00:00:00+00:00,1693,26,56,28
2024-12-16 00:00:00+00:00,2388,47,469,114
2024-12-17 00:00:00+00:00,2233,54,411,113
2024-12-18 00:00:00+00:00,2143,57,329,130
2024-12-19 00:00:00+00:00,2069,44,394,109
2024-12-20 00:00:00+00:00,2033,55,282,92
2024-12-21 00:00:00+00:00,1845,29,113,22
2024-12-22 00:00:00+00:00,1656,26,61,37
