referrer,views_total,views_unique
Google,471,220
docs.flagger.app,262,34
github.com,198,70
fluxcd.io,117,94
DuckDuckGo,22,5
statics.teams.cdn.office.net,18,9
Bing,18,7
chatgpt.com,18,4
kagi.com,11,1
search.brave.com,3,3
