referrer,views_total,views_unique
Google,1541,424
docs.flagger.app,289,58
fluxcd.io,264,136
github.com,259,122
t.co,60,37
DuckDuckGo,24,5
weave.works,18,9
medium.com,8,6
landscape.cncf.io,5,4
cn.bing.com,5,4
