url_path,views_total,views_unique
/fluxcd/flagger,935,593
/fluxcd/flagger/tree/main/kustomize,171,43
/fluxcd/flagger/issues,166,52
/fluxcd/flagger/tree/main/kustomize/podinfo,137,24
/fluxcd/flagger/blob/main/CHANGELOG.md,120,29
/fluxcd/flagger/blob/main/kustomize/podinfo/deployment.yaml,120,29
/fluxcd/flagger/tree/main/charts/flagger,116,24
/fluxcd/flagger/tree/main/charts,88,26
/fluxcd/flagger/blob/main/charts/flagger/values.yaml,87,18
/fluxcd/flagger/blob/main/docs/gitbook/usage/metrics.md,82,19
