url_path,views_total,views_unique
/fluxcd/flagger,1269,821
/fluxcd/flagger/tree/main/kustomize/podinfo,275,30
/fluxcd/flagger/tree/main/kustomize,268,46
/fluxcd/flagger/blob/main/kustomize/podinfo/deployment.yaml,222,36
/fluxcd/flagger/blob/main/CHANGELOG.md,163,49
/fluxcd/flagger/issues,132,52
/fluxcd/flagger/blob/main/kustomize/podinfo/hpa.yaml,130,27
/fluxcd/flagger/tree/main/charts/flagger,129,28
/fluxcd/flagger/tree/main/charts,128,39
/fluxcd/flagger/blob/main/charts/flagger/values.yaml,126,37
