url_path,views_total,views_unique
/fluxcd/flagger,982,654
/fluxcd/flagger/blob/main/kustomize/podinfo/deployment.yaml,211,34
/fluxcd/flagger/tree/main/kustomize,183,35
/fluxcd/flagger/blob/main/kustomize/podinfo/hpa.yaml,160,29
/fluxcd/flagger/tree/main/kustomize/podinfo,159,24
/fluxcd/flagger/blob/main/CHANGELOG.md,140,50
/fluxcd/flagger/blob/main/charts/flagger/values.yaml,121,30
/fluxcd/flagger/tree/main/charts,118,34
/fluxcd/flagger/tree/main/charts/flagger,104,26
/fluxcd/flagger/issues,102,51
