time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-09 00:00:00+00:00,17308,159,200,41
2023-07-10 00:00:00+00:00,17537,213,598,145
2023-07-11 00:00:00+00:00,17654,174,684,135
2023-07-12 00:00:00+00:00,17729,153,708,121
2023-07-13 00:00:00+00:00,17828,166,946,132
2023-07-14 00:00:00+00:00,17035,182,1080,136
2023-07-15 00:00:00+00:00,16698,128,107,27
2023-07-16 00:00:00+00:00,16710,127,275,43
2023-07-17 00:00:00+00:00,16781,164,690,125
2023-07-18 00:00:00+00:00,17211,200,738,124
2023-07-19 00:00:00+00:00,17352,173,713,118
2023-07-20 00:00:00+00:00,17442,160,608,124
2023-07-21 00:00:00+00:00,16845,122,542,110
2023-07-22 00:00:00+00:00,15037,129,74,18
